1000	0.3846	0.3841	0.384	0.1409	0.141	0.1684
1041	0.3812	0.3808	0.381	0.6684	0.6683	0.6806
1050	0.378	0.3777	0.3779	0.7315	0.7313	0.7418
1100	0.3605	0.3605	0.3608	0.9802	0.9802	0.9835
1150	0.3415	0.3417	0.3421	1.125	1.125	1.124
1200	0.3225	0.3227	0.3232	1.225	1.225	1.222
1250	0.3049	0.3051	0.3056	1.298	1.298	1.292
1253.6	0.3037	0.3039	0.3044	1.302	1.302	1.297
1300	0.2882	0.2884	0.2888	1.353	1.353	1.346
1350	0.2728	0.2728	0.2733	1.397	1.397	1.389
1400	0.2584	0.2583	0.2588	1.432	1.431	1.423
1450	0.245	0.2448	0.2452	1.46	1.46	1.451
1486.6	0.2357	0.2354	0.2359	1.478	1.478	1.468
1500	0.2324	0.2321	0.2326	1.484	1.484	1.474
