100	3.891	3.881	3.703	-0.7926	-0.793	-0.7666
105	6.275	6.265	6.048	-0.04149	-0.04205	-0.0194
110	5.742	5.739	5.537	0.565	0.5648	0.5734
115	4.799	4.801	4.621	0.9608	0.9607	0.9617
120	3.988	3.99	3.832	1.246	1.246	1.244
125	3.29	3.292	3.152	1.464	1.464	1.46
130	2.699	2.7	2.578	1.631	1.631	1.627
132.3	2.464	2.464	2.349	1.693	1.693	1.69
135	2.216	2.215	2.109	1.756	1.756	1.753
140	1.832	1.829	1.736	1.844	1.844	1.843
145	1.527	1.524	1.442	1.899	1.899	1.901
150	1.284	1.281	1.208	1.925	1.925	1.928
151.4	1.225	1.221	1.151	1.927	1.926	1.93
155	1.088	1.085	1.02	1.921	1.921	1.925
160	0.9292	0.9263	0.8689	1.887	1.887	1.892
165	0.7994	0.797	0.7459	1.825	1.824	1.827
170	0.6932	0.6915	0.646	1.733	1.733	1.733
175	0.6065	0.6054	0.5648	1.615	1.615	1.61
180	0.5358	0.5353	0.4989	1.473	1.473	1.462
185	0.4783	0.4783	0.4457	1.31	1.311	1.292
190	0.4316	0.4319	0.4027	1.132	1.134	1.106
195	0.3938	0.3944	0.3682	0.9431	0.9464	0.91
200	0.3634	0.3641	0.3405	0.7503	0.7542	0.7098
205	0.3389	0.3397	0.3185	0.5591	0.5635	0.5123
210	0.3193	0.3201	0.3011	0.3753	0.3798	0.3234
215	0.3036	0.3045	0.2874	0.2036	0.2077	0.1484
220	0.2913	0.2921	0.2767	0.04741	0.05094	-0.009328
225	0.2816	0.2823	0.2686	-0.09087	-0.08819	-0.1474
230	0.274	0.2747	0.2624	-0.2102	-0.2085	-0.265
235	0.2683	0.2689	0.2579	-0.3106	-0.3098	-0.3622
240	0.264	0.2645	0.2547	-0.3925	-0.3925	-0.44
245	0.2609	0.2614	0.2526	-0.4572	-0.4578	-0.4997
250	0.2588	0.2592	0.2515	-0.5061	-0.5071	-0.5431
255	0.2575	0.2579	0.2511	-0.5408	-0.542	-0.572
260	0.2569	0.2572	0.2512	-0.5629	-0.5642	-0.5885
265	0.2569	0.2571	0.2518	-0.5743	-0.5754	-0.5943
270	0.2572	0.2574	0.2528	-0.5764	-0.5774	-0.5912
275	0.2579	0.2579	0.254	-0.5708	-0.5715	-0.5807
280	0.2587	0.2587	0.2554	-0.5588	-0.5592	-0.5644
285	0.2598	0.2597	0.2568	-0.5416	-0.5418	-0.5433
290	0.2609	0.2608	0.2584	-0.5202	-0.5201	-0.5185
295	0.2621	0.2619	0.26	-0.4953	-0.4952	-0.4908
300	0.2633	0.2631	0.2615	-0.4679	-0.4676	-0.4609
305	0.2646	0.2642	0.2631	-0.4383	-0.4381	-0.4293
310	0.2658	0.2654	0.2646	-0.4072	-0.407	-0.3966
315	0.2669	0.2665	0.266	-0.375	-0.3748	-0.363
320	0.268	0.2676	0.2674	-0.3419	-0.3419	-0.329
325	0.2691	0.2686	0.2687	-0.3084	-0.3086	-0.2947
330	0.27	0.2695	0.2699	-0.2747	-0.275	-0.2604
