900	0.2734	0.2732	0.2693	0.3857	0.3855	0.4543
950	0.2607	0.2607	0.2576	0.7389	0.7388	0.7786
1000	0.2479	0.248	0.2456	0.9413	0.9413	0.9641
1041	0.2377	0.2378	0.2358	1.056	1.056	1.069
1050	0.2355	0.2356	0.2337	1.078	1.078	1.089
1100	0.2237	0.2237	0.2222	1.178	1.178	1.181
1150	0.2125	0.2125	0.2114	1.255	1.255	1.251
1200	0.2021	0.202	0.2012	1.315	1.315	1.307
1250	0.1923	0.1922	0.1915	1.365	1.365	1.353
1253.6	0.1916	0.1915	0.1908	1.368	1.368	1.355
1300	0.1831	0.1829	0.1825	1.406	1.406	1.39
1350	0.1744	0.1743	0.1739	1.441	1.441	1.422
1400	0.1662	0.1662	0.166	1.47	1.47	1.45
1450	0.1586	0.1585	0.1584	1.496	1.496	1.473
1486.6	0.1533	0.1533	0.1532	1.512	1.512	1.489
1500	0.1514	0.1514	0.1514	1.518	1.518	1.494
